Rang,Joueur,Poste,Période,Durée,Sélections,Ratio,Buts
1,Olivier Giroud,Attaquant,2011-2024,12 ans,241 jours,137,0,42,57
2,Kylian Mbappé,Attaquant,Depuis 2017,8 ans,166 jours,93,0,57,63
3,Thierry Henry,Attaquant,1997-2010,12 ans,254 jours,123,0,41,51
4,Antoine Griezmann,Attaquant,2014-2024,10 ans,188 jours,137,0,32,44
5,Michel Platini,Milieu,1976-1987,11 ans,33 jours,72,0,57,41
6,Karim Benzema,Attaquant,2007-2022,15 ans,77 jours,97,0,38,37
7,David Trezeguet,Attaquant,1996-2005,10 ans,58 jours,71,0,48,34
8,Zinédine Zidane,Milieu,1994-2006,11 ans,326 jours,108,0,29,31
9,Just Fontaine,Attaquant,1953-1960,6 ans,360 jours,21,1,43,30
9,Jean-Pierre Papin,Attaquant,1986-1995,8 ans,326 jours,54,0,56,30
11,Youri Djorkaeff,Milieu,1993-2002,8 ans,241 jours,82,0,34,28
12,Sylvain Wiltord,Attaquant,1999-2006,7 ans,278 jours,92,0,28,26
13,Jean Vincent,Attaquant,1953-1961,7 ans,305 jours,46,0,48,22
14,Jean Nicolas,Attaquant,1933-1938,5 ans,295 jours,25,0,84,21
15,Paul Nicolas,Attaquant,1920-1931,11 ans,28 jours,35,0,57,20
15,Éric Cantona,Attaquant,1987-1995,7 ans,159 jours,45,0,44,20
17,Jean Baratte,Attaquant,1944-1952,7 ans,323 jours,32,0,59,19
18,Roger Piantoni,Attaquant,1952-1961,8 ans,316 jours,37,0,49,18
18,Raymond Kopa,Milieu,1952-1962,10 ans,37 jours,45,0,4,18
20,Franck Ribéry,Milieu,2006-2014,7 ans,282 jours,81,0,2,16
20,Laurent Blanc,Défenseur,1989-2000,11 ans,208 jours,97,0,16,16
